"[28, 42, 20, 18]","[14, 7, 38, 22]","[[{'room_size': 0.06, 'damping': 0.87, 'wet_level': 0.6, 'dry_level': 0.71, 'width': 0.02, 'freeze_mode': 0.97}, {'delay_seconds': 0.83, 'feedback': 0.21, 'mix': 0.18}], {'delay_seconds': 0.14, 'feedback': 0.29, 'mix': 0.37}, [{'room_size': 0.46, 'damping': 0.79, 'wet_level': 0.2, 'dry_level': 0.51, 'width': 0.59, 'freeze_mode': 0.05}, {'delay_seconds': 0.61, 'feedback': 0.17, 'mix': 0.07}], [{'room_size': 0.95, 'damping': 0.97, 'wet_level': 0.81, 'dry_level': 0.3, 'width': 0.1, 'freeze_mode': 0.68}, {'delay_seconds': 0.44, 'feedback': 0.12, 'mix': 0.5}]]"
"[34, 16, 49, 3]","[13, 35, 39, 1]","[{'delay_seconds': 0.4, 'feedback': 0.93, 'mix': 0.73}, [{'room_size': 0.33, 'damping': 0.57, 'wet_level': 0.52, 'dry_level': 0.96, 'width': 0.84, 'freeze_mode': 0.75}, {'delay_seconds': 0.54, 'feedback': 0.59, 'mix': 0.97}], [{'room_size': 0.61, 'damping': 0.28, 'wet_level': 0.3, 'dry_level': 0.17, 'width': 0.02, 'freeze_mode': 0.42}, {'delay_seconds': 0.39, 'feedback': 0.29, 'mix': 0.01}], [{'room_size': 0.2, 'damping': 0.71, 'wet_level': 0.79, 'dry_level': 0.61, 'width': 0.93, 'freeze_mode': 0.65}, {'delay_seconds': 0.91, 'feedback': 0.85, 'mix': 0.45}]]"
"[47, 23]","[22, 36]","[{'delay_seconds': 0.76, 'feedback': 0.56, 'mix': 0.77}, None]"
"[36, 38, 42]","[22, 14, 28]","[[{'room_size': 0.23, 'damping': 0.08, 'wet_level': 0.29, 'dry_level': 0.16, 'width': 0.93, 'freeze_mode': 0.81}, {'delay_seconds': 0.63, 'feedback': 0.87, 'mix': 0.8}], None, {'delay_seconds': 0.12, 'feedback': 0.34, 'mix': 0.94}]"
"[31, 23, 38]","[31, 11, 1]","[{'room_size': 0.71, 'damping': 0.15, 'wet_level': 1.0, 'dry_level': 0.27, 'width': 0.98, 'freeze_mode': 0.41}, [{'room_size': 0.68, 'damping': 0.53, 'wet_level': 0.45, 'dry_level': 0.55, 'width': 0.59, 'freeze_mode': 0.08}, {'delay_seconds': 0.37, 'feedback': 0.24, 'mix': 0.8}], {'delay_seconds': 0.51, 'feedback': 0.7, 'mix': 0.86}]"
"[35, 25, 18, 31]","[18, 2, 19, 6]","[None, {'delay_seconds': 0.09, 'feedback': 0.9, 'mix': 0.9}, {'delay_seconds': 0.78, 'feedback': 0.64, 'mix': 0.08}, {'delay_seconds': 0.01, 'feedback': 0.16, 'mix': 0.55}]"
"[34, 40, 32]","[15, 35, 3]","[None, [{'room_size': 0.27, 'damping': 0.24, 'wet_level': 0.97, 'dry_level': 0.39, 'width': 0.89, 'freeze_mode': 0.63}, {'delay_seconds': 0.79, 'feedback': 0.5, 'mix': 0.58}], [{'room_size': 0.49, 'damping': 0.2, 'wet_level': 0.72, 'dry_level': 0.28, 'width': 0.02, 'freeze_mode': 0.65}, {'delay_seconds': 0.18, 'feedback': 0.94, 'mix': 0.95}]]"
"[5, 40]","[34, 36]","[{'delay_seconds': 0.39, 'feedback': 0.85, 'mix': 0.32}, [{'room_size': 0.17, 'damping': 0.56, 'wet_level': 0.94, 'dry_level': 0.7, 'width': 0.57, 'freeze_mode': 0.1}, {'delay_seconds': 0.62, 'feedback': 0.99, 'mix': 0.14}]]"
"[41, 25, 39, 8]","[1, 16, 32, 38]","[None, None, {'room_size': 0.54, 'damping': 0.29, 'wet_level': 0.59, 'dry_level': 0.03, 'width': 0.04, 'freeze_mode': 0.82}, {'delay_seconds': 0.54, 'feedback': 0.64, 'mix': 0.73}]"
"[49, 18]","[29, 16]","[{'delay_seconds': 0.43, 'feedback': 0.69, 'mix': 0.06}, [{'room_size': 0.92, 'damping': 0.44, 'wet_level': 0.24, 'dry_level': 0.09, 'width': 0.18, 'freeze_mode': 0.93}, {'delay_seconds': 0.64, 'feedback': 0.52, 'mix': 0.66}]]"
